A,AB,CD,EF,GH,IK,LM,NO,PQ,RS,TU,XY,Z&
B,AC,BK,DU,EI,FL,GN,HO,MY,PS,QX,RT,Z&
C,AD,BG,CZ,EK,FM,HT,IX,LR,NP,OQ,S&,UY
D,AE,BZ,CT,DK,FI,GS,HY,LQ,MX,NR,O&,PU
E,AF,BL,CI,DH,EU,GK,MT,NQ,OR,P&,SX,YZ
F,AH,BF,CL,DG,EQ,IY,KP,MU,NS,O&,RX,TZ
G,AG,BI,CL,DN,ER,FP,HT,KN,M&,OX,QY,SZ
H,AI,BT,CS,DO,EL,F&,GH,KM,NQ,PR,SZ,UY
I,AK,BT,CS,DX,EI,FL,GZ,HY,M&,NP,OQ,RU
K,AL,BO,CP,DG,ER,FS,HU,IX,KY,MZ,N&,QT
L,AM,BZ,CD,EG,FI,HK,LN,OR,PS,QU,TY,X&
M,AN,BO,CP,DQ,ER,FS,GT,HU,IX,KY,LZ,M&
N,AO,BC,DM,EP,FS,GN,HY,IU,KT,LQ,R&,XZ
O,AP,BL,CK,DQ,ES,FO,GX,HZ,I&,MO,NR,TY
P,AQ,BX,CU,DZ,ES,FO,GY,HT,IN,KR,L&,MP
Q,AR,BZ,CT,DH,EU,FQ,GO,IL,KN,MP,SY,X&
R,AS,BN,CQ,DT,EU,FY,G&,HO,IP,KR,LX,MZ
S,AT,BP,CQ,DR,E&,FS,GU,HX,IY,KZ,LN,MO
T,AU,BY,CM,DX,E&,FH,GQ,IR,KZ,LS,NP,OT
U,AX,BL,CO,DQ,ES,FU,GT,HY,IN,KZ,M&,PR
X,AY,B&,CZ,DE,FX,GN,HI,KT,LS,MR,NP,OQ
Y,AZ,BU,CG,DH,EX,FY,IO,K&,LN,MP,QS,RT
